1.953407,2.063004
1.959854,2.058974
1.958242,2.049304
1.975971,2.087985
1.974359,2.063004
1.955018,2.071868
1.959854,2.049304
1.975971,2.054139
1.955824,2.070256
1.960659,2.066227
1.974359,2.063004
1.971941,2.044469
1.950183,2.077509
1.954212,2.049304
1.943736,2.070256
1.951795,2.071062
1.979194,2.043663
1.958242,2.032381
1.946154,2.046886
1.969524,2.066227
1.953407,2.075092
1.961465,2.082344
1.975165,2.050110
1.942930,2.045275
1.938095,2.075092
1.923590,2.090403
1.932454,2.071062
1.959048,2.083956
1.942930,2.051722
1.941319,2.047692
1.921172,2.075092
1.942124,2.070256
1.931648,2.071062
1.963077,2.066227
1.936484,2.008205
1.934872,2.044469
1.933260,2.054139
1.925201,2.042051
1.937289,2.050110
1.934872,2.067033
1.944542,2.034799
1.896191,2.018681
1.930037,2.026740
1.934872,2.034799
1.942124,2.028352
1.932454,2.075092
1.907472,2.022711
1.895385,2.036410
1.908278,2.051722
1.908278,2.047692
1.905055,2.050110
1.920366,2.048498
1.916337,2.038828
1.896996,2.021905
1.897802,2.064615
1.889744,2.049304
1.907472,2.050916
1.920366,2.075092
1.901832,2.021905
1.899414,2.018681
1.894579,2.054945
1.910696,2.063004
1.920366,2.055751
1.930843,2.050916
1.921172,2.022711
1.900220,2.015458
1.909084,2.044469
1.919560,2.028352
1.914725,2.070256
1.938095,2.063004
1.906667,2.018681
1.876044,2.020293
1.901832,2.063810
1.892967,2.030769
1.894579,2.074286
1.919560,2.049304
1.892161,2.005788
1.884908,2.033187
1.889744,2.023516
1.897802,2.044469
1.894579,2.044469
1.900220,2.049304
1.891355,2.000147
1.869597,2.044469
1.894579,2.038022
1.874432,2.042051
1.918755,2.047692
1.905055,2.035604
1.869597,1.992088
1.889744,2.024322
1.882491,2.033993
1.884103,2.025128
1.900220,2.067839
1.898608,2.029157
1.893773,1.997729
1.877656,2.021099
1.899414,2.042051
1.883297,2.056557
1.909084,2.032381
1.893773,2.030769
1.879267,2.000147
1.876044,2.033993
1.867180,2.033187
1.884908,2.036410
1.899414,2.049304
1.884103,2.038828
1.874432,2.009817
1.885714,2.035604
1.880073,2.034799
1.880073,2.038828
1.892161,2.045275
1.868791,2.023516
1.876850,2.008205
1.883297,2.024322
1.871209,2.024322
1.863150,2.042857
1.884103,2.049304
1.863150,2.012234
1.868791,2.008205
1.873626,2.034799
1.872820,2.031575
1.863956,2.050110
1.892161,2.021905
1.880879,2.010623
1.843809,2.009817
1.861538,2.011429
1.855897,2.024322
1.867985,2.023516
1.856703,2.013040
1.853480,2.003370
