0.057755,0.307930,0.052381,0.300586,0.000000
0.057695,0.308307,0.058828,0.314286,0.000000
0.057800,0.308554,0.054799,0.313480,0.000000
0.058072,0.308811,0.060440,0.308645,0.000000
0.057831,0.308756,0.041099,0.311062,0.000000
0.058017,0.308917,0.062857,0.307033,0.000000
0.057952,0.308962,0.060440,0.308645,0.000000
0.057967,0.308660,0.053993,0.296557,0.000000
0.057846,0.308489,0.057216,0.298169,0.000000
0.057841,0.308307,0.058828,0.292527,0.000000
0.057725,0.308277,0.057216,0.296557,0.000000
0.057408,0.307572,0.051575,0.305421,0.000000
0.057302,0.307481,0.053993,0.300586,0.000000
0.057236,0.307169,0.044322,0.296557,0.000000
0.057252,0.306927,0.049963,0.294139,0.000000
0.056798,0.306383,0.045934,0.291722,0.000000
0.056697,0.306046,0.055604,0.294139,0.000000
0.056496,0.305522,0.047546,0.296557,0.000000
0.056269,0.304600,0.051575,0.280440,0.000000
0.055912,0.304011,0.049158,0.287692,0.000000
0.055725,0.303245,0.051575,0.292527,0.000000
0.055549,0.302636,0.053187,0.285275,0.000000
0.055096,0.301699,0.045934,0.274799,0.000000
0.054768,0.301080,0.050769,0.282857,0.000000
0.054476,0.300274,0.041905,0.282857,0.000000
0.054255,0.299312,0.048352,0.281245,0.000000
0.053716,0.298466,0.048352,0.285275,0.000000
0.053419,0.297700,0.051575,0.279634,0.000000
0.053061,0.296930,0.045934,0.282857,0.000000
0.052457,0.295726,0.038681,0.272381,0.000000
0.052064,0.294920,0.051575,0.289304,0.000000
0.051777,0.293958,0.049158,0.273187,0.000000
0.051590,0.293147,0.044322,0.282857,0.000000
0.051087,0.292130,0.044322,0.283663,0.000000
0.050895,0.291379,0.051575,0.283663,0.000000
0.050442,0.290528,0.042711,0.278828,0.000000
0.050382,0.289546,0.049158,0.273187,0.000000
0.049958,0.288750,0.050769,0.274799,0.000000
0.049787,0.288025,0.051575,0.281245,0.000000
0.049596,0.287476,0.046740,0.276410,0.000000
0.049097,0.286589,0.045934,0.286081,0.000000
0.048971,0.286247,0.046740,0.288498,0.000000
